exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	neural	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190508_07-08-0282	21	1.0693630668	0.0321918733	1.1075342432	3.8555270635	2.7262693317	1.4865088938	1.2397604379	8	0.0762905005	56.78125	744.2768052374	565.7775129679	1216.6642366466	0.7245576409	0.7564156946	115.137962061	1.4509277201	79.3547193718	0.1643709907	1	665.2769146233	819.296508758	566.0466173438	1216.2428153295	1.86656371503803E-09	0.0172809766	-0.0041205472	1	0.0007516436	0.9424346821	9.883247546	-7.2708726445	1	2.6320879373	7133	1	7	0		
190508_07-08-0283	21	1.1727756605	0.1712590751	1.2795392806	3.2420988866	2.292510108	0.8105247217	1.4819853864	13	0.0408790545	35.78125	875.2954403016	180.1515820456	1331.3609271523	0.5935641356	0.7203816592	93.5459839277	1.242565281	75.2845627952	0.0219928395	1	625.2290228894	816.7753369448	211.2822755603	1331.1472248648	1.34435579187642E-08	0.0114340298	-0.004086497	2	0.0007516448	0.9500609411	12.5031901621	-7.2934652272	1	2.6216106629	5436	0.7228723404	7	0		
190508_07-08-0284	21									0.0263780861	24.609375	932.9477077071	1506.6153631285	907.4541899441	0.5475904068	0.7044470681	74.0328520556	1.1951050535	61.9467316626	0.2783970312	1	727.9583010403	772.9000472781	1504.9205712355	902.3696332669	-7.46946841312524E-09	0.0114568277	-0.0048410043	2	0.0007516449	0.9778131818	12.4830049773	-5.9866871635	0	2.6094229685	3580	0.9878587196	7	0		
190508_07-08-0285	21	1.1105852471	0.0268800008	1.1740343754	4.2044820763	5	3.2420988866	1.7579011134	4												0	800.7501973284	770.9535581138	1195.4818104787	646.9407680077	7.26011949254326E-09	0.0381142428	-0.0331578997	0	0.0007516432	0.9141197999	14.456874064	-14.6532103871	2	2.5905304084			7	1		1
190508_07-08-0286	21									0.0166416973	15.7421875	945.9484340253	1346.4197224975	930.1511397423	0.7926168623	0.6863945578	65.1084071962	1.6400970251	39.6978996977	-0.5033989684	1	705.0118783296	771.9378829809	1346.9645654612	905.308247622	4.11579929400577E-09	0.0124560001	-0.0060785489	4	0.0007516456	0.9785359956	9.1850923776	-7.85637049	0	2.5772989719	2018	0.9016979446	7	0		
190508_07-08-0287	21	1.1408749766	0.5409040801	1.2366926883	0.8105247217	2.1022410381	0.2409704415	1.8612705967	26	0.0536427057	44.8125	835.388509679	99.2525773196	360.110137457	0.3886117813	0.7516466486	89.7739977486	1.0853031021	82.7179039425	-0.4757750448	1	627.337616272	736.5540413159	99.7884414631	359.8721457154	-6E-09	0.0143880276	-0.0042386535	1	0.0007516452	0.9436795108	17.1032641166	-7.0542676744	1	2.5747786597	5820	1	7	0		
190508_07-08-0288	21	1.1818948343	0.2713492285	1.2886561076	2.9730177875	2.292510108	0.6815673329	1.6109427751	15	0.0449866975	38.875	864.1443405099	197.5723247232	254.4964944649	0.6692590533	0.7131578947	96.9727575651	1.3458422167	72.0535857465	0.0874672082	1	629.7553107368	727.5091050497	203.9085378997	254.5442820429	2.66165805183058E-09	0.012472756	-0.0046462274	2	0.0007516447	0.9404846512	12.3900758793	-6.9223330293	2	2.5694054418	5420	0.9408088873	7	0		
190508_07-08-0289	21	1.1261969718	0.08370798	1.1906682797	3.2420988866	2.9730177875	1.25	1.7230177875	11	0.0634239252	48.40625	763.2175054489	481.7559621039	1069.9438092127	0.6890444837	0.7436831876	104.0023011855	1.3798450612	75.3724487696	1.027702132	1	643.587535232	803.5150217588	472.0570744145	1081.8237715517	2.57565642048004E-09	0.0158063191	-0.0038519464	3	0.0007516443	0.9478687459	13.0024941549	-6.6393683762	2	2.5590446519	6122	0.7008586148	7	0		
190508_07-08-0290	21	1.0889199644	0.0665928474	1.135064612	3.2420988866	2.7262693317	1.0511205191	1.6751488126	12	0.0603841555	48.84375	808.8835493361	351.9675534369	261.2538828233	0.5324211674	0.7380547043	99.1296002989	1.1813633888	83.9111836668	0.4149047356	1	633.6419248255	720.4762206056	350.7088645717	264.5078057969	-2.75254968587414E-09	0.0154363356	-0.003848224	2	0.000751644	0.9506564923	13.1731123301	-7.1222059184	2	2.5532807167	6503	0.9870977535	7	0		
190508_07-08-0291	21	1.0934760466	0.0723283007	1.1453887082	3.2420988866	2.7262693317	1.3631346658	1.3631346658	9	0.0931695893	68.1875	731.8643402074	752.3126704426	450.4302496329	0.7597967986	0.6663405088	139.4359591037	1.5380814794	90.6557688741	1.5024145653	1	683.6759208785	727.5019403835	751.8008842385	447.0971231315	3.18745463826649E-09	0.0153904387	-0.0037490645	1	0.0007516438	0.9213982832	12.2621190988	-7.7411533975	5	2.5231475764	9534	1	7	0		
190508_07-08-0292	21	1.16412233	0.2920000562	1.3031950065	2.9730177875	2.5	0.625	1.875	17	0.0642867875	50.59375	787.0007503183	112.0953002611	1030.6613903394	0.7478603874	0.7460433406	108.7787456935	1.5063506856	72.2134272805	0.0628712914	1	623.211224358	791.0638066732	111.840792932	1030.190870124	-3.2861194841089E-09	0.0149665775	-0.0040619307	1	0.0007516445	0.9332027455	15.6939632433	-6.9422856085	3	2.5199963721	6128	1	7	0		
190508_07-08-0293	21	1.0467537694	0.0098697392	1.0712755985	4.2044820763	2.9730177875	1.767766953	1.2052508345	7	0.0310351737	25	805.5376223387	610.9358909642	718.8016153458	0.9621815726	0.4237433155	98.263719554	3.6709517018	26.7679140277	1.0584015514	0	692.104097368	773.0041100157	619.1485092225	719.8277782067	-2.88388544487493E-09	0.0198948925	-0.0081702697	2	0.0007516439	0.9665796517	11.2580309178	-7.04426563	2	2.5059074756	1981	0.9909954977	7	1	1	
190508_07-08-0294	21	1.0779407784	0.0654104562	1.1287598925	3.5355339059	2.7262693317	1.3631346658	1.3631346658	9	0.0420067996	37.125	883.785490435	924.9703476483	1031.4832992502	0.8266082637	0.5699300699	117.0271259574	1.776900433	65.860260815	0.780730873	1	705.0180991558	789.6737481365	924.7667863752	1030.5168704538	-7.75641807352855E-10	0.009781283	-0.0052319336	4	0.0007516444	0.9130826417	11.4181700909	-11.620531304	2	2.5052729998	5868	0.9989785495	7	0		
