exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190904_01-02_600components-0022	21	0.0007609655	-1.9957146211631E-10	-0.0163303641	0.0124979566	1	688.4127230303	786.143510378	1160.7740682156	420.366714303	0.9038936579	105	957.8886682813	0.9731445313	3.530005315	0.4166666667	1	416.8666666667	1160.5714285714	0.0010159266	0.9590355658	6.1708621462	21.783176174	0.9843221725	-9.4498920753	18.6521821088	3.1036399002	2	5	5	0	1.080868527	0.0009557694	4.585020216	1.1245214784	0.414979784	0	1				6.95
190904_01-02_600components-0023	21	0.0007609632	-4.06394535640403E-10	-0.1018953792	0.0480693964	1	658.9230971443	840.1220725388	407.1124709541	1269.8490346872	0	17	884.6554206847	0.513671875	1.0472698762	0.68	1	1263.6470588235	255	0.0005806463	0.2970442629	4.5381885934	4.7527082063	0.9968954452	-4.2741248096	5.9811426185	3.0190004826	2	5	5	1	1.1686631684	0.0003475745	4.585020216	1.2416602839	0.414979784	1	0			1	6.95
190904_01-02_600components-0024	21	0.0007609637	6.54550856025115E-10	-0.0375934001	0.036906951	2	644.0754433617	813.3706155724	824.2866911241	392.3935644639	-0.5284116125	777	917.1185413054	7.22265625	10.4770768879	0.1505230531	0.9974326059	360.667953668	819.3127413127	0.0078753792	0.9954345641	10.7085246447	112.1940360586	0.9966720829	-5.2403178062	8.2370241693	2.9593929153	2	5	5	1	1.0296667284	3.60208008748476E-05	5	1.0296667284	0	1	0		1		6.95
190904_01-02_600components-0025	21	0.0007609653	-2.33950916059531E-12	-0.0046892617	0.0124570737	5	651.0263838058	867.9232591835	820.4680423034	1487.1746428838	-0.5751891663	7311	846.5237824065	49.21875	2.9263243635	0.4585711598	0.9749299907	1486.1114758583	818.7331418411	0.058142194	0.9397997672	57.0679877442	166.9994429103	0.9819985242	-16.2842019714	10.5426823331	2.89983443	2	0.8105247217	3.5355339059	7	1.0476703055	0.0156711364	0.4819408829	1.0865697713	0.3285838387	0	1				6.95
190904_01-02_600components-0026	21	0.0007609641	-8.58311642232935E-10	-0.0073023188	0.0114920498	17	507.2984923535	878.2786918441	40.5758558678	1081.82795549	1.5510707433	13078	762.1805574147	70.375	2.8658000907	0.5739992978	0.9775020555	1079.8151858082	41.2651781618	0.0923337644	0.9371440643	80.3020895197	230.1297354317	0.8245367727	-34.2217547043	11.8610363191	2.8609194934	2	5	5	0	1.1757249878	0.0203887975	4.585020216	1.3317026997	0.414979784	0	1				6.95
190904_01-02_600components-0027	21	0.0007609649	2.88204599715679E-10	-0.0057396271	0.0100803986	46	594.8036350425	807.9956998022	440.3848585442	736.4725502046	-0.9198969327	4802	935.6553906063	20.890625	5.539230758	0.0715413724	0.4757752898	340.1599333611	401.4831320283	0.0223272641	0.98356939	74.525631169	412.8146684329	0.9948698819	-7.9998594841	7.6528085447	2.8399629224	2	0.625	1.767766953	19	2.4185002726	0.9630338046	0.1313900649	3.4179278753	0.4936099351	1	0		1		6.95
190904_01-02_600components-0028	21	0.0007609649	6.58350903966008E-11	-0.0089934806	0.0105328589	16	669.4329983414	812.8106107308	871.6853496812	641.9107244202	-1.5586649081	69	949.5128291266	0.349609375	1.4046707131	0.7840909091	0.2065868263	342.0579710145	867.3043478261	0.0003681987	0.7022700815	7.9501295181	11.1673140998	0.9872442628	-9.4371500042	7.4381298778	2.8044471909	2	0.8838834765	2.7262693317	17	1.2232179862	0.195425366	0.2209708691	1.354831471	0.6629126074	1	0		1		6.95
190904_01-02_600components-0029	21	0.0007609654	1.10208965444162E-09	-0.0356969496	0.0147799642	1	670.8748767698	816.0533436416	538.7770404486	1210.1967997162	-0.7853981634	6	992.5480698465	0.0563659668	1.3540064008	0.6666666667	1	1263.1666666667	255.8333333333	5.67891556180188E-05	0.6741998625	2.3094010768	3.1269438399	0.9865179311	-8.4988439828	6.4291715156	2.7451615993	2	5	5	0	1.1963046639	0.0017806553	4.585020216	1.2824463306	0.414979784	1	0			1	6.95
190904_01-02_600components-0030	21	0.0007609643	7.47534879613013E-10	-0.0032561741	0.019727497	11	669.6613562332	877.6815428917	935.2461051633	1403.0662980503	-0.6902777492	11066	783.9820075636	66.875	4.2652244188	0.2608921162	0.9945178395	1404.3801735044	931.7112777878	0.0853017025	0.9721271541	60.8262379289	259.4375553205	0.9601167878	-12.2115291961	13.5050199041	2.7201375775	1	0.0082118791	3.2420988866	7	1.7736565463	0.2315874937	0.0048828125	2.4388237163	0.0033290666	0	1				6.95
190904_01-02_600components-0031	21	0.0007609651	1.26240239501331E-09	-0.0098131051	0.019287527	3	658.5182072475	810.3398077757	1097.6490545748	784.6485045339	-0.2540600842	4070	866.1339683959	34.65625	4.7319073194	0.3166822284	0.9662867996	784.2574938575	1097.828009828	0.0400125746	0.9774144939	44.8012398774	211.9953148955	0.988855161	-6.5285222866	7.8944511704	2.5479674791	1	0.0069053397	3.5355339059	5	1.9316212187	0.7359178839	0.0048828125	2.6538929715	0.0020225272	1	0		1		6.95
