exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	mass.perc	region.majmin.ratio	region.extent	region.orient	mass.total	region.majaxis	threshold.area	region.centroid.0	region.centroid.1	region.minaxis	mass.region	region.eccentricity	threshold.perc	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.rangesz	freq.maxsnr	freq.maxsnr.freq	freq.range.low	freq.range.high	freq.integrate	freq.avgsnr	length	artifact	signal	noise	hemodynamic	movement	res
190329_02-03_600components-0035	21	0.0007518672	-1.77639950563553E-11	-0.0071201814	0.0196390225	2	0.0274812988	1.8599721155	0.5960784314	1.057044128	836.9327868985	75.0983139285	2128	1265.5136278196	941.9078947368	40.3760429005	23	0.8431729216	0.9529780564	742.7445047572	777.9483711069	1265.0337910877	937.4200384365	0.9829319141	-3.9310388553	16.735271985	2.9811209292	0									1	0			1	6.6
190329_02-03_600components-0036	21	0.0007518658	0.000000004	-0.0049064368	0.0077805551	33	0.0194727761	2.1582134412	0.3465679012	-1.4208215464	865.7920648498	127.2814775893	3509	105.892277002	593.2624679396	58.9753891613	16.859375	0.8861773511	0.8917407878	594.6657217568	738.332959062	105.9936396465	593.4369165131	0.9714639618	-15.7496563551	14.1795884305	2.9500304482	1	0.0033290666	3.3471079986	2.9730177875	0.0048828125	0.0082118791	0.5056673382	2.2456392726	7	0	1				6.6
190329_02-03_600components-0037	21	0.0007518674	-3.04889873594268E-10	-0.0059758702	0.0105845866	7	0.0269582131	1.9937465139	0.2092098988	-0.3682276154	867.6622920034	158.383360289	3948	1384.8072441743	680.632218845	79.4400688284	23.390625	0.8651180644	0.938882283	797.1085322589	763.0428272818	1383.0585836706	680.1365259828	0.9898153719	-7.8536079012	13.8918840152	2.8952862985	1	0.4817181182	1.380545593	2.292510108	0.1432818818	0.625	0.2446136247	1.2307750285	18	0	1				6.6
190329_02-03_600components-0038	21	0.000751865	-0.000000002	-0.0263808846	0.0348940209	0														600.5515041933	772.1624151429	79.5369220089	717.1228705725	0.978781597	-1.8396445037	14.0905713333	2.8811569596	2	1.4644660941	1.3034988645	4.2044820763	3.5355339059	5	0.0091902592	1.2008577951	4	1	0			1	6.6
190329_02-03_600components-0039	21	0.0007518665	0.000000001	-0.004523745	0.0110951398	13	0.056807446	1.788824639	0.4998405612	-0.0934949049	827.9064339003	157.9073998511	9405	734.4265816055	182.5397129187	88.2743877797	47.03125	0.8291499309	0.964813295	716.3397425844	675.9375848767	738.7050763895	183.9454628668	0.9887117668	-12.8657660727	10.0846450907	2.8789853207	1	0.87097496	2.3141823233	1.25	0.0929068059	0.9638817659	1.8630004738	1.7199323091	28	0	1				6.6
190329_02-03_600components-0040	21	0.0007518661	6.35505472336877E-10	-0.008304717	0.0119757308	4	0.0101595906	4.9569785892	0.380845492	-1.3114969133	879.7106440965	86.3374730647	1018	1270.1453831041	649.5667976424	17.4173584798	8.9375	0.9794399779	0.9797882579	754.347923817	760.5192544604	1269.8820476097	649.9693854225	0.995610563	-6.1946929825	13.0227913185	2.8499153083	0									1	0			1	6.6
190329_02-03_600components-0041	21	0.0007518665	-3.36853873586441E-11	-0.0063656029	0.0116631449	12	0.0282710545	2.0022586877	0.4421176471	0.6916132255	845.0560264586	105.3055859159	3758	1520.0340606706	626.9795103779	52.5933969285	23.890625	0.8663508047	0.9886871876	793.3111549484	756.2265510569	1518.2084452353	631.538908752	0.9872105243	-6.7595338371	13.7405335602	2.8345294784	3	0.414979784	1.0313500595	5	4.585020216	5	0.0002838653	1.027936992	1	0	1				6.6
190329_02-03_600components-0042	21	0.0007518664	-3.8143917576229E-10	-0.004547275	0.0122609053	8	0.0305460058	2.0486383236	0.1412633564	-0.758626471	875.7282438304	190.5933448807	4495	467.4022246941	336.9844271413	93.034159658	26.75	0.8727714321	0.9654209622	655.5171102757	690.9656469749	467.9663138393	335.2462897097	0.9936842528	-16.8004575481	7.2697547382	2.8288395331	1	0.4326534537	1.9917149673	1.25	0.0929068059	0.5255602595	0.7733546849	1.5452509588	21	0	1				6.6
190329_02-03_600components-0043	21	0.0007518679	-1.87515923759642E-09	-0.0073118076	0.0091127689	2	0.0025245909	1.5358331137	0.6679841897	-0.8323337982	934.5573565514	25.8499001338	338	1330.8579881657	846.1686390533	16.8311907743	2.359375	0.7589813104	0.8644501279	744.7451777521	773.165521661	1300.2375024924	849.4681282272	0.9931991003	-3.9423265441	14.4772069968	2.8045512724	0									0	1				6.6
190329_02-03_600components-0044	21	0.0007518667	-1.07148682437917E-09	-0.0067920434	0.0191293321	3	0.0378566619	2.4375523793	0.4910909091	-0.3727555801	785.4462998577	95.7102515301	2701	1156.2058496853	757.0544242873	39.2649004561	29.734375	0.9119741834	0.9722822174	739.1573308963	768.3272395364	1155.3883597441	757.6996700513	0.9936308601	-3.8326973047	16.925763965	2.7842349694	2	0.7955179237	1.0971686807	4.585020216	4.2044820763	5	0.0006278641	1.0840691858	2	1	0			1	6.6
