exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	signal	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190506_03-04-0278	21	2.7614518798	0.7341304057	5.3916056415	2.9730177875	0.0082118791	0.0048828125	0.0033290666	7												0	684.5071066824	792.2806042166	854.9113401078	772.1483670738	7.38825964541475E-09	0.0126894984	-0.0123927344	0	0.0007516439	0.9762617039	12.0227894712	-3.4499263984	2	1.7801482534			4	1		1
190506_03-04-0279	21	1.1047285173	0.1594587818	1.1852772564	3.8555270635	0.0929068059	0.0602426104	0.0326641955	6	0.0047722109	4.50390625	943.7777137116	1056.5240793201	819.2039660057	0.9261351238	0.5464396285	34.8327317515	2.6511703713	13.1386244084	-0.4121789691	0	693.1726895348	788.8742129207	1056.6203810193	819.1636185875	5.30570017875279E-09	0.0196728781	-0.010828901	1	0.0007516436	0.9836716922	11.9337975266	-3.1059029009	2	1.7339820596	353	1	4	1		1
190506_03-04-0280	21	1.0224191911	0.0025675176	1.0343719744	4.2044820763	2.7262693317	2.1022410381	0.6240282935	4	0.0405294552	29.03125	716.3000298045	1180.5736470588	744.1463529412	0.8750894238	0.4222972973	82.3132644413	2.0662810939	39.8364311045	-0.8587252142	0	694.4328199226	782.2366798559	1178.2274780799	744.3774479289	-2.86830151728682E-09	0.0334789429	-0.0043311409	2	0.0007516438	0.9661378232	14.0783019331	-4.7063191945	3	1.7180423538	2125	0.9824318077	4	1		1
190506_03-04-0281	21	1.1204188655	0.3938666881	1.2161144691	3.5355339059	0.8838834765	0.2209708691	0.6629126074	17	0.0144790778	12.953125	894.609804345	709.5145454545	1099.7522727273	0.9360946567	0.0773993808	233.3884109895	2.8429427934	82.0939526222	1.0174785921	0	666.452408008	788.4505605695	656.338384662	792.8949714026	-2.48670381147269E-09	0.0148412233	-0.003817154	42	0.0007516437	0.9360155656	6.5736303065	-6.0390136527	3	1.6908234473	2200	0.3232916973	4	1	1	
190506_03-04-0282	21	1.5712346857	0.5201551154	2.0995982006	2.7262693317	0.0602426104	0.0232267015	0.0370159089	12	0.0297638982	27.578125	926.5629401364	725.6387683406	1284.6528208308	0.6490308357	0.0622043398	284.6904120879	1.3144713685	216.5816760379	-1.1635638583	0	678.9094369961	809.1794630735	722.5531516564	1262.9882988504	-3.94603710680055E-09	0.0129905169	-0.0046434366	7	0.0007516436	0.9419634303	5.5676273661	-7.7030459752	2	1.6877559146	4839	0.9236495514	4	1	1	
190506_03-04-0283	21	1.0884182262	0.016186937	1.1279483955	4.2044820763	2.9730177875	2.1022410381	0.8707767494	5	0.0011106781	1.041015625	937.2793201291	1316.9871794872	780.5641025641	0.8522012477	0.75	13.8327572784	1.9112633408	7.237494166	-0.2040623458	0	706.2103146849	806.0691128428	1317.008025178	780.5942318783	-7.50193267462193E-09	0.0156296971	-0.0120507857	1	0.0007516437	0.9554524486	9.9717038305	-4.8753632484	2	1.6632902767	78	1	4	1		1
190506_03-04-0284	21	1.0963342179	0.4528034054	1.1671115765	3.5355339059	2.5	0.2409704415	2.2590295585	28	0.0392877887	35.03125	891.6574636529	548.0725311905	1241.582152675	0.6603082322	0.7361457036	89.8604210568	1.331567321	67.4846999007	0.3991394074	1	660.582844481	816.2242920972	548.2270411723	1241.1906630549	-2.487645453473E-09	0.012331768	-0.0056912792	1	0.0007516437	0.898225152	8.1729418001	-4.6080549016	1	1.6608258813	4729	1	4	0		
190506_03-04-0285	21	1.0374430275	0.0355856932	1.0595864442	4.585020216	0.0716409409	0.0552427173	0.0163982236	4	0.0080527661	7.72265625	959.0066544195	1373.9746136865	781.4315673289	0.9336795009	0.6088709677	58.2729683912	2.7924400643	20.8681178646	0.1227072699	0	698.7712167517	791.9490344851	1363.1138099854	781.3597454863	-2.91685958938113E-09	0.0135535827	-0.0066890692	3	0.0007516436	0.9709981413	14.3880602188	-5.1129092495	3	1.6561348582	906	0.8579545455	4	1	1	
190506_03-04-0286	21	1.0977449947	0.0244697665	1.1547604455	4.2044820763	2.9730177875	1.767766953	1.2052508345	7	0.0190842169	16.71875	876.0511405926	586.6919609316	936.7024793388	0.9591033232	0.3592442645	79.8388491945	3.5328672581	22.5988816907	-0.8604631153	0	676.6697213263	798.8945295093	608.4075498048	929.8653444711	-3.6158160848325E-09	0.0245745311	-0.0062407885	2	0.0007516438	0.959455253	8.4820652534	-3.7446905625	3	1.6228884046	1331	0.9353478566	4	1	1	
190506_03-04-0287	21	1.116493116	0.2335012163	1.211978698	3.5355339059	0.7432544469	0.3125	0.4307544469	11	0.0216169565	20.4375	945.4383637519	1508.1169786096	672.9187834225	0.6692897758	0.687816092	71.7577248322	1.3458923433	53.3160955916	-0.1930856307	1	714.4913052098	781.0677495604	1507.9614348421	673.1520984587	-6.70723828037862E-10	0.0115243674	-0.0052746523	1	0.0007516439	0.9389284536	10.6505287753	-5.9815252847	3	1.5942969574	2992	1	4	0		
