exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	threshold.area	region.majmin.ratio	region.centroid.1	region.centroid.0	threshold.perc	region.extent	region.majaxis	mass.region	mass.total	region.eccentricity	mass.perc	region.minaxis	region.orient	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	length	freq.maxsnr.freq	freq.range.high	freq.rangesz	freq.integrate	freq.maxsnr	freq.avgsnr	freq.range.low	artifact	signal	noise	hemodynamic	movement	res
190625_03-04_600components-0540	21	0.000751653	-2.27726630696995E-10	-0.004972716	0.0052723463	0														692.0713739148	792.8218889805	1215.7020454479	905.1035358937	0.0288584764	-10.9820276394	7.2472036893	0.5759661384	2	0	5	5	0.414979784	0.0075940876	1.0153151346	1.0092182312	4.585020216	0	0	1			6.79
190625_03-04_600components-0541	21	0.0007516531	6.41896794294281E-09	-0.0051116989	0.0050967233	0														692.1257615016	792.4934563297	1162.7946388486	815.2648686659	0.0654626404	-7.0155326122	7.3123375425	0.5753975747	3	21	2.7262693317	0.0425979583	0.035067632	0.0764077664	2.7252419724	2.2056830124	0.0075303263	0	0	1			6.79
190625_03-04_600components-0542	21	0.0007516534	-1.27165470552129E-09	-0.0052750628	0.0065435432	0														691.6860623251	792.1832697264	1207.4232572788	880.2103058735	0.0128000452	-7.0205033231	8.9526109978	0.5752951662	2	5	4.2044820763	0.0138106793	0.0040450543	0.0041813612	1.6131026824	1.4282180709	0.009765625	0	0	1			6.79
190625_03-04_600components-0543	21	0.0007516538	2.09198650292847E-09	-0.0052021691	0.0052916083	0														691.7508564446	792.5497552325	1209.0435531397	1007.838663128	0.0762630355	-8.7046487362	8.2979365935	0.575286585	4	2	4.585020216	0.8838834765	0.0733587548	0.0035636546	1.0211698339	1.0208975416	0.8105247217	0	0	1			6.79
190625_03-04_600components-0544	21	0.0007516531	-0.000000002	-0.0054107229	0.0059387303	0														691.9648553375	792.2046470057	1122.6274247783	932.0119910478	0.0019640264	-8.621302128	7.808932087	0.5750475181	2	6	3.8555270635	4.2044820763	1.4782127446	0.1472549563	1.1266096108	1.0847860886	2.7262693317	0	0	1			6.79
190625_03-04_600components-0545	21	0.0007516534	4.28214346025295E-09	-0.00473953	0.0056068533	0														691.7174454285	793.0197709978	579.4995256154	699.0685725737	0.1328243876	-7.3249913602	7.9630650314	0.5750250961	4	8	4.2044820763	0.7432544469	0.337992086	0.0737414404	1.234425677	1.1454793864	0.4052623608	0	0	1			6.79
190625_03-04_600components-0546	21	0.0007516532	-5.10071081275199E-10	-0.0050245867	0.0087017729	0														692.1176017585	792.4544297379	1111.2188717863	1028.1743357349	0.0367741921	-6.1167531137	11.1621181416	0.5748359328	5	3	4.585020216	5	1.1444729365	0.0842692071	1.0673072016	1.0547867132	3.8555270635	0	0	1			6.79
190625_03-04_600components-0547	21	0.0007516533	9.57935973657903E-12	-0.0055466815	0.0069424318	0														692.2588741814	792.9251807747	906.9101160927	684.686053935	0.0925462498	-9.0564299335	7.5542106993	0.5748352178	2	3	4.585020216	2.5	0.3977589619	0.023423195	1.0537371282	1.0366434254	2.1022410381	0	0	1			6.79
190625_03-04_600components-0548	21	0.0007516535	8.10870587085359E-10	-0.0052254692	0.0052191578	0														691.7128507738	792.2519259208	827.5346833155	527.9800953764	0.0396569091	-7.741155468	7.2803467443	0.574818452	3	31	0.573127527	0.0716409409	0.0663161961	0.0573888018	2.7559902125	1.622423422	0.0053247448	0	0	1			6.79
190625_03-04_600components-0549	21	0.0007516532	-1.42907028289779E-09	-0.0057211782	0.0055994557	0														692.3960130286	792.5376642701	334.2944364745	999.2200075348	-0.0113191091	-11.1767474653	6.4822516648	0.5747364252	3	5	4.2044820763	4.585020216	1.3429213294	0.0653359063	1.0595563809	1.0378617238	3.2420988866	0	0	1			6.79
190625_03-04_600components-0550	21	0.0007516536	-2.84210150027557E-09	-0.0048410221	0.0061309085	0														692.1544558793	792.816065746	982.4693642337	782.513515473	-0.0127536598	-7.0772408208	9.0985338628	0.5746246208	4	2	5	5	0.7955179237	0.0384912677	1.0442186732	1.0318214384	4.2044820763	0	0	1			6.79
190625_03-04_600components-0551	21	0.0007516536	-0.000000004	-0.0050830576	0.0056414015	0														691.6007776401	792.4202019411	890.4520850377	912.8617045816	0.0150352912	-9.5779414173	8.4374707663	0.5746238728	4	2	4.585020216	5	0.7955179237	0.0308283012	1.0318521759	1.0258352839	4.2044820763	0	0	1			6.79
190625_03-04_600components-0552	21	0.0007516537	7.73070580028239E-10	-0.0048992748	0.0058613606	0														692.0360090534	792.8471895184	1045.0744667864	691.9239642274	0.0380554649	-7.8027125404	6.9645018696	0.5745055141	4	2	4.585020216	2.7262693317	0.2262693317	0.0071453919	1.0208424504	1.0156867341	2.5	0	0	1			6.79
190625_03-04_600components-0553	21	0.0007516535	-1.23590291118937E-09	-0.0048543229	0.0056489042	0														691.5356457551	792.8956130695	1235.8841849246	885.5505955901	0.0683524943	-6.7817994281	7.2290730486	0.5743052492	2	7	4.2044820763	0.1858136117	0.0753281772	0.0210797215	1.3254560259	1.1730402928	0.1104854346	0	0	1			6.79
190625_03-04_600components-0554	21	0.0007516537	1.46031755362639E-09	-0.0047524651	0.0053321204	0														692.2576070129	792.4158050802	1178.7127203207	852.6938187541	0.0415314665	-7.1485933562	7.6586923235	0.5742894865	5	4	4.2044820763	2.5	0.5722364682	0.0384996723	1.0720760889	1.0467209183	1.9277635318	0	0	1			6.79
190625_03-04_600components-0555	21	0.000751653	-8.93447264990698E-10	-0.0055917832	0.0052718375	0														692.3520562576	792.2336716517	1267.6712146778	805.0204541359	-0.0318751287	-8.1296498152	6.9383288672	0.5741410408	4	2	4.2044820763	5	1.1444729365	0.0101446042	1.0090853748	1.0067970125	3.8555270635	0	0	1			6.79
190625_03-04_600components-0556	21	0.0007516534	5.98320510522366E-10	-0.0052231944	0.0051149945	0														691.9183438495	792.6432609101	1207.0267975452	836.4703633261	0.0130466264	-7.9613999858	7.4480986169	0.5741201511	1	12	2.7262693317	0.0276213586	0.0169718691	0.0417100205	3.1342458182	2.3703093911	0.0106494896	0	0	1			6.79
190625_03-04_600components-0557	21	0.0007516536	-6.70382233230883E-10	-0.0056376306	0.0049584209	0														692.5041449037	791.9181346458	794.1425146407	685.2444593171	-0.0191905255	-8.067523684	8.0131821439	0.5741132603	2	1	5	5	0.7955179237	0.0339954464	1.0429095194	1.0275053371	4.2044820763	0	0	1			6.79
190625_03-04_600components-0558	21	0.0007516532	-3.5643881925335E-09	-0.005007427	0.0058094707	0														691.8785776921	792.5959541201	925.1908578697	843.9740120527	0.0090432928	-6.2107802014	8.6320682586	0.5738908446	2	3	4.585020216	0.8838834765	0.1406290296	0.0161510596	1.1024239141	1.0693660375	0.7432544469	0	0	1			6.79
190625_03-04_600components-0559	21	0.0007516532	0.000000003	-0.0063068308	0.005088977	0														692.0755714869	792.2136602337	794.2643236772	901.3676635375	0.0534391614	-8.0311241944	8.4646310764	0.5736481285	4	5	4.2044820763	4.2044820763	1.2314642888	0.1471770458	1.1294614144	1.0945798656	2.9730177875	0	0	1			6.79
190625_03-04_600components-0560	21	0.0007516526	-2.16047840532642E-09	-0.0056061547	0.0054938448	0														691.6203319945	792.4268701022	847.6051608308	1168.0363035118	0.1095608359	-9.866516682	7.8184478538	0.5731203584	4	4	4.585020216	1.25	0.2861182341	0.0370925152	1.1255301799	1.0775323959	0.9638817659	0	0	1			6.79
190625_03-04_600components-0561	21	0.0007516538	1.24078062717772E-09	-0.0056021951	0.0052566903	0														692.0743826147	792.4772922501	911.6679343876	950.7358400563	0.0446946903	-10.3657464234	6.6184322125	0.5727941651	4	4	4.585020216	3.2420988866	0.7420988866	0.0376366669	1.0544082846	1.0363406515	2.5	0	0	1			6.79
190625_03-04_600components-0562	21	0.000751653	4.57796004493488E-09	-0.0051334594	0.006068352	0														691.9179216474	792.861449943	503.5716601561	1009.3784704879	0.0538831957	-7.323951823	6.9747041695	0.5726826914	3	8	3.5355339059	0.4819408829	0.2191607532	0.1257494905	1.8467948373	1.4418568162	0.2627801298	0	0	1			6.79
190625_03-04_600components-0563	21	0.0007516534	-2.34625043419748E-09	-0.0050378577	0.0051921746	0														692.141558754	792.8881996983	1170.8465849599	944.595870471	0.0587758609	-7.9146924876	7.0939092863	0.5722149393	2	4	4.585020216	1.9277635318	0.441254638	0.0284970717	1.0604859013	1.0439990742	1.4865088938	0	0	1			6.79
190625_03-04_600components-0564	21	0.0007516534	0.000000003	-0.0054510551	0.0057388866	0														691.5848811608	792.7165574054	1132.2435651777	1029.0374838495	0.0367300535	-9.0512910772	7.5675304136	0.5721244182	5	0	5	5	0.414979784	0.026305953	1.0411719066	1.0318012311	4.585020216	0	0	1			6.79
190625_03-04_600components-0565	21	0.0007516537	4.5738465066247E-09	-0.0051077779	0.0054715508	0														692.2829604468	792.6780876966	1025.0918126735	857.2621109085	0.081702673	-7.5539342535	7.9263339727	0.5719397112	4	3	4.585020216	2.1022410381	0.3344740852	0.010890201	1.0310941774	1.0200991521	1.767766953	0	0	1			6.79
190625_03-04_600components-0566	21	0.0007516532	-2.65263719434358E-09	-0.0050755353	0.0055100245	0														692.5155667932	792.1693352802	936.7461487938	943.7087874513	-0.0046034951	-7.0338431328	7.0059298192	0.571905529	5	3	4.585020216	5	1.1444729365	0.0747471502	1.0716852387	1.0483309542	3.8555270635	0	0	1			6.79
190625_03-04_600components-0567	21	0.0007516529	3.05578672219113E-09	-0.0049363461	0.0052165985	0														691.4082441457	793.1906011215	978.9266445587	727.5239480271	-0.0690332449	-8.121817477	8.1723170719	0.5712754778	4	4	4.585020216	0.625	0.1430591171	0.0187767866	1.1313456981	1.08901793	0.4819408829	0	0	1			6.79
190625_03-04_600components-0568	21	0.0007516539	1.34729143173308E-10	-0.0054726073	0.0056169562	0														692.4359086509	792.4105015529	653.5114464981	680.152748048	0.0281384017	-7.6407613727	7.29893706	0.5712592001	5	2	5	5	0.7955179237	0.0215375611	1.0303031589	1.0178032456	4.2044820763	0	0	1			6.79
190625_03-04_600components-0569	21	0.0007516539	2.8056930367006E-09	-0.0049780962	0.005902339	0														692.2152048015	791.9880719427	855.8954923381	440.9473016506	0.0476838135	-8.5080780413	8.556714653	0.5712564923	3	4	4.2044820763	1.6210494433	0.3710494433	0.0300850983	1.07319842	1.0549859644	1.25	0	0	1			6.79
190625_03-04_600components-0570	21	0.0007516533	-2.21400486697041E-09	-0.0061199604	0.0050412977	0														691.8115606264	792.5434481511	1117.6877979092	906.8018752872	0.0146428354	-8.5068823734	6.7719023402	0.5712028002	2	26	1.25	0.0716409409	0.0634290618	0.0989557719	3.8004522394	2.2830330516	0.0082118791	0	0	1			6.79
190625_03-04_600components-0571	21	0.0007516531	-1.56885897943755E-09	-0.0054841949	0.0055773503	0														692.5424850322	792.4861808439	1109.2749635565	746.5360331564	0.0263564368	-7.4898835137	6.854592734	0.570982171	5	3	4.585020216	4.585020216	0.7294931525	0.0192008418	1.0258606474	1.0177488234	3.8555270635	0	0	1			6.79
190625_03-04_600components-0572	21	0.0007516537	-1.99637907422917E-10	-0.0051640498	0.0080005977	0														691.7169026879	792.4017076825	830.3308868929	780.3941731835	0.0423670803	-7.2767713436	7.3724362751	0.5709226603	4	4	4.2044820763	4.585020216	1.0494863101	0.0678999425	1.0735478346	1.0493796323	3.5355339059	0	0	1			6.79
190625_03-04_600components-0573	21	0.0007516527	5.92402625843667E-09	-0.0060915503	0.0051871143	0														691.8041701946	792.4505742934	43.1233629267	971.0610739701	0.0009596479	-7.8780841191	9.6999741389	0.5707375128	5	5	3.8555270635	3.5355339059	1.0355339059	0.1042227937	1.1327343892	1.0838309124	2.5	0	0	1			6.79
190625_03-04_600components-0574	21	0.0007516533	-1.23353087734384E-10	-0.0047941177	0.0050705213	0														691.6388711932	792.7402931374	527.4682319048	997.9374240892	0.0041347872	-7.7864010456	6.7243672873	0.5706812058	2	27	0.573127527	0.0464534029	0.0415705904	0.0675814347	3.589452083	2.1422479362	0.0048828125	0	0	1			6.79
190625_03-04_600components-0575	21	0.0007516537	-1.19156348807787E-09	-0.0060242754	0.0057833019	0														691.6333855093	792.6462747784	714.0810959225	958.9313659915	0.0151194087	-8.8122037369	7.0683959069	0.570549855	3	3	4.2044820763	0.6815673329	0.1084398059	0.0072419393	1.0647741018	1.0408043048	0.573127527	0	0	1			6.79
190625_03-04_600components-0576	21	0.0007516533	-2.27625298137462E-09	-0.0050829486	0.0060173658	0														691.8508277713	792.7156874284	724.6978441999	1020.5801197222	0.0314060771	-7.3431348185	7.9358090617	0.5705316642	3	3	4.585020216	5	1.4644660941	0.0898146269	1.0674556858	1.0475306856	3.5355339059	0	0	1			6.79
190625_03-04_600components-0577	21	0.0007516538	5.19806492294879E-10	-0.0052313483	0.0051867101	0														691.8925979134	792.5414821254	602.938148414	978.8276560468	0.053057417	-8.3968106958	8.3896867661	0.5703921213	6	3	4.585020216	5	1.1444729365	0.0273701817	1.0250489039	1.0176357768	3.8555270635	0	0	1			6.79
190625_03-04_600components-0578	21	0.0007516527	1.37052849266221E-09	-0.0047728507	0.0054001702	0														691.8240874009	792.5417744962	689.4672691803	775.1762306793	0.0743402313	-9.5798400107	6.5879267425	0.5703898804	4	0	5	5	0.414979784	0.0116187964	1.0169562133	1.0145174359	4.585020216	0	0	1			6.79
190625_03-04_600components-0579	21	0.0007516528	2.35860615805167E-09	-0.0056719644	0.0052171427	0														691.9003224716	792.8026421454	709.7786084238	838.8695746651	-0.0116778567	-8.095703529	7.5119964802	0.5697553075	2	5	4.2044820763	2.1022410381	0.6157321444	0.0844416056	1.1905849834	1.1076443664	1.4865088938	0	0	1			6.79
190625_03-04_600components-0580	21	0.0007516537	3.31460125989605E-09	-0.00528817	0.0054665293	0														691.5101229562	792.3170954313	1080.4535581833	790.64586943	0.0079244588	-8.8053373797	9.2513656004	0.5696951017	3	3	4.585020216	3.8555270635	0.6134281769	0.0471086255	1.0716030604	1.0517929382	3.2420988866	0	0	1			6.79
190625_03-04_600components-0581	21	0.0007516542	1.67693011942742E-09	-0.0049512718	0.0055060039	0														692.065276116	792.6243438434	1138.4582073464	846.5922223749	0.0164608383	-8.0928496164	7.9334933713	0.5696926737	5	1	4.585020216	5	0.7955179237	0.0199307455	1.0263322818	1.0169053704	4.2044820763	0	0	1			6.79
