exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190613_01-02_600components-0014	22	0.0007516422	8.15021022374625E-10	-0.0040828651	0.0162609295	6	1.3067959869	12012	656.4269590875	78.75	2.4850986369	0.2436214659	0.9638902263	759.8368298368	112.037962038	0.1199676505	0.9154646009	121.8008454652	302.6871150371	559.5367137309	782.1256449203	110.5321724458	754.8544348192	0.941212615	-10.6419811819	56.3781610306	8.0883336509	2	5	4.2044820763	4	1.4256348324	0.069479067	3.2420988866	1.6328637646	1.7579011134	1	0		1		7
190613_01-02_600components-0015	22	0.0007516434	-4.44129310017644E-09	-0.0177873068	0.0178725186	0														725.8171397585	788.6216891392	1327.5103290943	882.3650221951	0.9935793014	-8.9236733796	20.9786406284	7.6822777917	2	5	4.585020216	4	1.324391001	0.004349839	3.5355339059	1.4963413264	1.4644660941	1	0			1	7
190613_01-02_600components-0016	22	0.0007516446	2.22479792712746E-09	-0.0050758274	0.0095830786	22	-0.8330580997	2528	850.7737551368	14.0625	2.0177451183	0.151996152	0.454676259	679.5640822785	1343.1522943038	0.0165290712	0.8685493242	74.4640981402	150.2495705104	822.1839445701	786.7859109939	1376.7321757885	772.6335712605	0.9903434898	-15.8564046017	24.3434331066	7.0530422096	2	5	4.585020216	3	1.2636929174	0.0044441764	3.8555270635	1.3546261822	1.1444729365	0	1				7
190613_01-02_600components-0017	22	0.0007516444	1.45755295020086E-10	-0.0121172267	0.0171492327	0														587.9991730709	867.7242103019	519.2660928081	1334.2316001395	0.9924813643	-15.6198518017	14.4014052606	6.9387691751	2	5	4.585020216	3	1.0415228913	0.0005518269	3.8555270635	1.0576652026	1.1444729365	1	0			1	7
190613_01-02_600components-0018	22	0.000751644	-7.42151112073625E-10	-0.0076875291	0.0084337946	0														553.5324511434	870.7422057674	137.4260057589	1417.7507611597	0.9960517664	-15.3280877325	18.216228805	6.8406241877	2	5	4.585020216	3	1.1570784081	0.0011395297	3.8555270635	1.2088024938	1.1444729365	0	1				7
190613_01-02_600components-0019	22	0.0007516431	2.39457125549386E-09	-0.0069020062	0.0075185675	4	-1.4960161438	5811	864.3413580289	28.734375	2.4514462518	0.3435412356	0.9994840041	1085.8817759422	655.4827052142	0.033244244	0.9130165726	68.5552461273	168.0595011633	663.0549171332	851.6437765107	655.5888773542	1086.8356248922	0.9981687164	-15.8223134288	11.369455214	6.7024224164	3	5	5	2	1.211012139	0.0004869017	4.2044820763	1.2511353147	0.7955179237	0	1				7
190613_01-02_600components-0020	22	0.0007516437	1.52068540419754E-09	-0.0074089704	0.007029262	46	0.5138752785	702	840.4709133246	3.302734375	1.0282287706	0.4076655052	0.5934065934	275.886039886	111.3219373219	0.0039296236	0.2327098147	38.5826747381	39.6718162131	561.4087786384	699.8484682373	101.9490546384	295.294952314	0.9938982017	-22.0939192284	11.014078714	6.6115354386	2	5	5	2	1.1833778254	0.0013986546	4.2044820763	1.2208830943	0.7955179237	0	1				7
190613_01-02_600components-0021	22	0.0007516443	1.74630015925014E-09	-0.0076469337	0.0091960487	2	-1.0586603787	15	945.1457902286	0.1029663086	1.6211549371	0.6	0.9375	502.1333333333	191	0.0001089422	0.7870852866	3.5027866118	5.6785598093	603.1815907118	751.4858669452	207.2061491436	545.6925780957	0.9978751006	-15.0892630183	9.7168869245	6.4944763365	2	5	5	2	1.3183293193	0.0007950349	4.2044820763	1.3977681865	0.7955179237	0	1				7
190613_01-02_600components-0022	22	0.0007516455	2.84645587634564E-09	-0.0055793989	0.0100496003	5	-0.8190109207	1900	933.7002567708	12.109375	5.3326150905	0.1186313686	0.9026128266	364.2273684211	271.9394736842	0.0129692317	0.9822597819	33.6448002641	179.4147696055	597.7474436416	748.9545510313	277.9168729228	370.1453518995	0.9971998759	-16.2242172923	9.5410934868	6.4265503905	2	5	4.585020216	3	1.348115845	0.0015917353	3.8555270635	1.442137709	1.1444729365	1	0		1		7
190613_01-02_600components-0023	22	0.0007516432	4.89902121750712E-10	-0.0056267459	0.0075724601	43	0.5399267733	5609	839.7092839983	27.390625	1.8181658883	0.4391981834	0.8935797355	102.6412907827	442.1456587627	0.0326191761	0.8351614809	67.7072555085	123.1030223539	603.9625479791	677.7541652796	418.9639269262	110.7530484868	0.9943720915	-20.2502657695	9.9908570404	6.2891140416	2	5	4.585020216	3	1.303274542	0.0029084539	3.8555270635	1.3844012536	1.1444729365	0	1				7
